order_num,order_id,symbol,qty,limit_price,status,youtuber,video_id,strategy_name,entry_price,tp_price,sl_price,filled_qty,filled_price,created_at
1,5ff3dbbd...,EUO,100,24.99,canceled,Glacier Trading,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:01.384656Z
2,fceec729...,FXB,100,24.3,canceled,ForexMentor,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:02.243678Z
3,22de4c32...,GLD,100,191.1,canceled,Traders Reality,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:03.109978Z
4,b9f9d348...,EUO,100,24.99,new,Pips Hunter,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:11.44187Z
5,e0d01ff5...,FXB,100,24.3,new,Candlestick King,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:12.300548Z
6,46e2c64f...,GLD,100,191.1,new,Glacier Trading,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:00:13.155176Z
7,e3203d05...,EUO,50,24.99,new,ForexMentor,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:17:19.013663Z
8,b94b2764...,FXB,50,24.3,new,Traders Reality,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:17:19.375092Z
9,4c6fe2b0...,EUO,10,108.5,filled,Pips Hunter,N/A,Unknown,1.095,1.10595,1.08405,10,30.06,2026-03-19T13:23:18.333569Z
10,783e2978...,GBTC,10,108.51,filled,Candlestick King,N/A,Unknown,1.095,1.10595,1.08405,10,54.05,2026-03-19T13:23:18.689012Z
11,15dcd032...,ETHE,10,108.52,filled,Glacier Trading,N/A,Unknown,1.095,1.10595,1.08405,10,17.26,2026-03-19T13:23:19.059335Z
12,bfbf666b...,FXB,10,108.53,new,ForexMentor,N/A,Unknown,1.095,1.10595,1.08405,0,,2026-03-19T13:23:19.418016Z
